Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
Yangel Herrera;Girona;Centro;11.429.000;86;5,7;15;4;4;Atlético;0;6,3;5,1;En forma;J18;0
Florian Lejeune;Rayo Vallecano;Defensa;11.693.000;86;4,8;18;0;4;Getafe;1;4,6;5,0;En forma;J18;6
Christian Stuani;Girona;Delantero;5.655.000;85;5,0;17;6;5;Atlético;0;6,6;3,6;En forma;J18;2
Óscar Mingueza;Celta;Defensa;10.044.000;85;4,7;18;1;2;Betis;0;4,1;5,3;En forma;J18;8
Mason Greenwood;Getafe;Delantero;10.638.000;84;6,0;14;3;2;Rayo Vallecano;0;5,7;6,3;En forma;J18;11
David López;Girona;Defensa;12.218.000;84;5,6;15;2;3;Atlético;0;5,4;5,9;En forma;J18;2
Iván Martín;Girona;Centro;11.283.000;84;4,9;17;3;3;Atlético;0;5,6;4,3;En forma;J18;5
Germán Pezzella;Betis;Defensa;10.354.000;84;4,9;17;1;3;Celta;1;5,4;4,4;En forma;J18;12
Lamine Yamal;Barcelona;Delantero;11.665.000;84;4,7;18;1;1;Las Palmas;1;3,9;5,6;En forma;J18;3
Jan Oblak;Atlético;Portero;10.290.000;84;4,7;18;0;1;Girona;1;5,3;3,9;En forma;J18;7
Stole Dimitrievski;Rayo Vallecano;Portero;8.854.000;84;4,7;18;0;1;Getafe;1;3,4;5,9;En forma;J18;3
Axel Witsel;Atlético;Defensa;11.614.000;83;4,9;17;1;2;Girona;1;5,8;3,9;En forma;J18;5
Samuel Costa;Mallorca;Centro;10.104.000;83;4,6;18;1;3;Real Madrid;1;4,1;5,1;En forma;J18;3
Nemanja Maksimović;Getafe;Centro;8.955.000;83;4,6;18;1;2;Rayo Vallecano;0;5,5;3,9;En forma;J18;5
Predrag Rajković;Mallorca;Portero;7.759.000;83;4,6;18;0;1;Real Madrid;1;4,8;4,4;En forma;J18;3
